time_dim_id,road_dim_id,event_dim_id,occurrence,injured,killed
160101,R01S01,I-LI-LP,1,0,0
160101,R01S01,I-IN-DR,1,0,0
160101,R02S04,I-SV-MV,1,0,0
160101,R02S04,I-TR-SP,13,0,0
160101,R02S04,I-IN-DD,5,0,0
160101,R02S07,I-SV-RO,7,0,0
160101,R02S07,I-SV-MV,10,0,0
160101,R02S07,I-SV-NL,3,0,0
160101,R02S07,I-TR-RW,2,0,0
160101,R02S07,I-TR-OT,11,0,0
160101,R02S07,I-TR-SP,19,0,0
160101,R02S07,I-IN-DD,4,0,0
160101,R02S07,A-CO-SC,3,6,0
160101,R02S07,A-CH-PH,2,0,0
160101,R02S07,A-TD-MC,2,4,0
160101,R03S01,A-CO-HO,4,4,2
160101,R03S01,A-CO-TR,3,3,0
160101,R03S04,I-TR-LD,2,0,0
160101,R03S04,I-TR-OT,6,0,0
160101,R03S04,I-TR-SP,10,0,0
160101,R03S05,I-SV-MV,8,0,0
160101,R03S05,I-LI-LP,1,0,0
160101,R03S05,I-TR-RW,2,0,0
160101,R03S05,I-TR-OT,4,0,0
160101,R03S05,I-TR-SP,15,0,0
160101,R04S02,I-SV-NS,6,0,0
160101,R04S02,I-TR-SP,6,0,0
160101,R04S03,A-CO-RE,1,3,0
160101,R04S05,I-TR-OT,6,0,0
160101,R04S05,I-TR-SP,7,0,0
160101,R05S04,I-SV-RO,2,0,0
160101,R05S04,I-TR-RW,3,0,0
160101,R05S04,I-TR-OT,9,0,0
160101,R05S04,I-TR-SP,21,0,0
160101,R05S04,I-IN-DD,9,0,0
160101,R06S04,I-SV-NS,6,0,0
160101,R06S04,I-SV-RO,1,0,0
160101,R06S04,I-LI-LP,2,0,0
160101,R06S04,I-TR-LD,3,0,0
160101,R06S04,I-TR-SP,11,0,0
160101,R06S04,I-IN-DD,10,0,0
160101,R07S06,I-SV-NL,1,0,0
160101,R07S06,I-TR-OT,5,0,0
160101,R07S06,I-TR-SP,12,0,0
160101,R07S06,I-IN-DD,1,0,0
160101,R07S07,A-CO-RE,9,4,0
160101,R07S07,A-OT-RO,1,2,0
160101,R07S09,I-SV-NS,18,0,0
160101,R07S09,I-LI-LP,2,0,0
160101,R07S09,I-TR-OT,9,0,0
160101,R07S09,I-TR-SP,4,0,0
160101,R08S06,I-TR-WW,2,0,0
160101,R08S06,I-TR-OT,5,0,0
160101,R08S06,I-TR-SP,9,0,0
160101,R08S09,I-SV-MV,5,0,0
160101,R08S09,I-SV-NL,6,0,0
