time_dim_id,road_dim_id,event_dim_id,occurrence,injured,killed
170101,R02S07,I-SV-NS,14,0,0
170101,R02S07,I-TR-RW,4,0,0
170101,R02S07,I-TR-OT,9,0,0
170101,R03S02,I-SV-RO,1,0,0
170101,R03S02,I-SV-NL,2,0,0
170101,R03S02,I-LI-LP,3,0,0
170101,R03S02,I-TR-LD,2,0,0
170101,R03S02,I-TR-OT,6,0,0
170101,R03S02,I-TR-SP,8,0,0
170101,R03S05,I-SV-NS,14,0,0
170101,R03S05,I-TR-LD,5,0,0
170101,R03S05,I-TR-WW,4,0,0
170101,R03S05,I-TR-OT,8,0,0
170101,R03S05,I-TR-SP,20,0,0
170101,R03S05,I-IN-DD,1,0,0
170101,R03S05,A-CO-HO,1,2,0
170101,R05S03,I-SV-MV,6,0,0
170101,R05S03,I-TR-OT,3,0,0
170101,R06S01,I-SV-RO,1,0,0
170101,R06S01,I-SV-MV,8,0,0
170101,R06S01,I-TR-RW,2,0,0
170101,R06S01,I-TR-SP,8,0,0
170101,R06S01,I-IN-DR,1,0,0
170101,R06S01,A-OT-RR,6,7,0
170101,R06S01,A-CH-PH,3,5,0
170101,R07S03,A-OT-RR,1,3,0
170101,R07S03,A-CH-PH,2,1,0
170101,R07S03,A-CH-CH,3,2,0
170101,R07S06,I-SV-RO,2,0,0
170101,R07S06,I-LI-UD,2,0,0
170101,R07S06,I-LI-LP,1,0,0
170101,R07S09,I-SV-NS,16,0,0
170101,R07S09,I-SV-MV,11,0,0
170101,R07S09,I-TR-RW,6,0,0
170101,R07S09,I-TR-LD,4,0,0
170101,R07S09,I-TR-WW,3,0,0
170101,R07S09,I-IN-DD,10,0,0
170101,R07S09,A-CO-SC,1,7,0
170101,R07S09,A-TD-LC,1,0,2
170101,R08S01,I-SV-NS,15,0,0
170101,R08S01,I-SV-RO,10,0,0
170101,R08S01,I-SV-MV,8,0,0
170101,R08S01,I-LI-UD,4,0,0
170101,R08S01,I-TR-LD,3,0,0
170101,R08S01,I-TR-OT,6,0,0
170101,R08S01,I-TR-SP,23,0,0
170101,R08S01,I-IN-DR,1,0,0
170101,R08S08,I-TR-LD,2,0,0
170101,R08S08,I-TR-OT,1,0,0
170101,R08S08,I-IN-DD,5,0,0
170101,R08S09,I-SV-NS,18,0,0
170101,R08S09,I-SV-MV,1,0,0
170101,R08S09,I-SV-NL,4,0,0
